id,sentence1,sentence2,similarity
d4d4d9c0-9eb3-4ef2-8785-be268f3d7c68,You don't need to know everything.,They just don't want you to know it.,1.0
3d93f48f-6a14-485a-bb42-5dddc3cd17eb,A man is eating a bowl of cereal.,The man is eating cereal.,4.0
40c685c9-d0cb-453b-8938-a036900c3e70,"So was Edie Falco, the critically praised co-star of ""Frankie and Johnny.""","Edie Falco was not nominated for ""Frankie and Johnny.""",2.4
f059798f-8aa5-4d5d-97a2-2a19d795f3d0,The difficulty arises not from the various linguistic properties of the language pair as many here suggest.,It depends on generally syntactic structure of two languages and -yes- some pragmatic issues.,1.8
dbc5894d-a0c1-4d3b-8df3-e51523e1ff66,A mostly black train on a track.,A car parked in front of train tracks.,1.0
eed256bc-18eb-4323-807f-fac762ab72e3,australian television reporter peter lloyd faces 3 new drug charges in singapore.,according to court documents -- on 25 july australian television reporter peter lloyd faced 3 new drug charges in singapore.,3.4
099adf81-0aad-4ac4-8f41-09953dc5859f,A girl runs along a river bank with two black dogs.,A little boy is petting a tiger that is laying down.,0.2
aba602cb-69aa-4209-8911-430b9a9e2b62,Gang violence kills 16 in Venezuelan prison,Sixteen killed in Venezuela prison,4.0
a43b6cdd-0bef-4d39-8819-95c5cf3c7288,"Mr Hadley, who has a new partner and child, said: ""I am absolutely delighted.","In a statement issued by his solicitors, Mr Hadley said: ""I am absolutely delighted with the outcome of proceedings.",3.4
3ccd9245-abef-47d1-b7d6-82292de8c5d8,A man is dieing in an operating room.,A man is kissing a woman in stage.,0.4
4c45b9f3-91ed-4863-b60a-9821e771a0f1,"Nixon, Ford and Carter shut down the oilfields?",No has has shut down the oil fields.,2.0
f8401153-367d-4d14-9721-05e1d37a5a27,"Barbini said the union may reach a compromise with the United States but it wants a system for labeling such foods, something the industry successfully fought here.","Barbini said the EU may reach a compromise but it wants a system for labeling such foods, something the industry has resisted.",3.25
8f9adf30-e3bc-41b3-af94-36c2e3528a6e,"The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.","Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.",5.0
b2b4e3bc-3694-4542-b027-4ede56141151,I'd be more inclined to believe that it's some sort of ring world.,"It is not hollow, it is round just as our world.",1.8
5c9b53e1-e739-4800-ba32-c0f4af15a8d5,Syria rebels leave besieged Homs,Syrian rebels retreat from besieged Homs district,4.4
a126aab9-cfd8-4cf6-bc39-16fd4c4614a7,A group of people eat at a table outside.,A group of people sitting at a restaurant table.,3.2
be9cd893-7c34-4fc1-8c5c-beb29ed61e86,amnesty international is a rights group based in london.,the international institute for strategic studies is located in london.,1.4
0267df6f-f81e-4949-817e-8ce7d54824b8,Nine Pakistani troops killed in militant ambush,"Trade: Pakistan, India agree to take it a step ahead",0.8
c8676813-d510-480b-b93f-f791c48c1305,Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain.,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel.,3.333
1b1d4718-51bd-4a61-b5b6-a0a3e345bc9d,A passenger train coming into a station.,A passenger train sits in the station.,2.4
a3338a76-b707-41d6-b857-ec44f60a7675,I have the same thing.,I have the same problem.,4.0
5111b64c-d71d-477d-bc06-1b0f4a5ac038,N Korea says it may delay controversial rocket launch,N. Korea looks set to delay controversial rocket launch,4.2
