id,sentence,sentiment
5e2efb53-b68c-4d52-8eef-3401a327314e,"Whether or not Ram Dass proves as clear and reliable an authority on that as he was about inner consciousness , Fierce Grace reassures us that he will once again be an honest and loving one .",3
a23bf80c-bb5a-414c-911e-3361d21eadce,It appears as if even the filmmakers did n't know what kind of movie they were making .,0
5ce16392-8c40-443d-b97e-92052317406d,"The tasteful little revision works wonders , enhancing the cultural and economic subtext , bringing richer meaning to the story 's morals .",3
6b87ba26-c6d6-4eb6-b4b3-7e72b5bc90d5,Almost peerlessly unsettling .,1
6b5cc02b-68ee-42d3-90f1-605ad12185d8,"This road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",4
8ed68898-4c93-403d-b76e-b7aa09b08969,"Unless you 're a fanatic , the best advice is : ` Scooby ' do n't .",1
927eaa20-13b9-479a-a841-1aec2fc985b3,"The plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times",0
b3400914-cdf9-45ff-b9e3-2a73fe971992,"Starts out with tremendous promise , introducing an intriguing and alluring premise , only to fall prey to a boatload of screenwriting cliches that sink it faster than a leaky freighter .",1
0c5a5683-78c2-4924-b2e7-b02b0dd7c153,The title 's lameness should clue you in on how bad the movie is .,0
21a071af-71ce-4b2d-85d3-1e0df2f8e8a4,"Although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching De Niro and Crystal having fun .",2
55e16a0a-236a-40e0-a205-96a50caafde8,A muddle splashed with bloody beauty as vivid as any Scorsese has ever given us .,3
1483e6c0-1c98-46ee-baea-5f779e6de6ca,"The sort of film that makes me miss Hitchcock , but also feel optimistic that there 's hope for popular cinema yet .",3
1d7ff19b-8fbf-4619-9ad6-2ff2ba333811,"Still , not every low-budget movie must be quirky or bleak , and a happy ending is no cinematic sin .",2
162c827d-e7a1-4621-b5cb-17efd4de025e,"It 's a frightful vanity film that , no doubt , pays off what debt Miramax felt they owed to Benigni .",0
c5cc33d6-d228-42a3-bca2-d2df7731242b,"A dull , dumb and derivative horror film .",0
d8d32115-750e-4a8c-9f21-b7c2a40e2aac,"In the end , there is n't much to it .",0
0b5e54e9-7adc-4894-95eb-ce06a22ac4fa,"However it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",1
72d43ed0-4311-4895-9b99-699b5e747a36,It 's basically an overlong episode of Tales from the Crypt .,2
6bfacf5d-3211-4ca5-9ded-09fc43ea151b,Intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .,3
6e516eed-5f60-4a58-99e0-925097629028,"And Lee seems just as expectant of an adoring , wide-smiling reception .",3
6fd51e39-aacf-4570-933f-0fb72804ea23,"As expected , Sayles ' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .",3
7a7cf8f7-cebd-4f8b-9d56-7c8e6e08469f,"It is so earnest , so overwrought and so wildly implausible that it begs to be parodied .",2
38d3e8d1-7db7-4005-af83-0de99faa8957,"The entire cast is first-rate , especially Sorvino .",4
023df74b-7b4f-4d4c-a558-0bb313099360,"The film sometimes flags ... but there is enough secondary action to keep things moving along at a brisk , amusing pace .",2
cb4117b4-0505-43cc-bc39-370d42e52de5,The cast comes through even when the movie does n't .,2
f5e1ca45-b6c6-45ec-b723-255385886453,Easily the most thoughtful fictional examination of the root causes of anti-Semitism ever seen on screen .,4
504b591f-4611-47cb-830b-b8570dd10a78,Canadian filmmaker Gary Burns ' inventive and mordantly humorous take on the soullessness of work in the city .,4
a55edb21-9eec-459d-9eff-c9cda6e2f437,That 's pure PR hype .,1
3ec846fc-ab11-4dd5-ace2-718199b9a888,... Pray does n't have a passion for the material .,1
dbd5de20-5b9c-4e83-bf6b-c3ba788cb8fb,"A standard police-oriented drama that , were it not for De Niro 's participation , would have likely wound up a TNT Original .",1
fb12dc2f-e7ba-482b-88c6-25a8ed4008c0,"There 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",3
8a6c7ffd-73a1-481b-b324-0e21ac55dd85,A movie that seems motivated more by a desire to match mortarboards with Dead Poets Society and Good Will Hunting than by its own story .,2
b4016402-53c3-49ba-98eb-d228fe0c5bcc,"Morvern Callar confirms Lynne Ramsay as an important , original talent in international cinema .",4
0d8897be-f9ad-400e-a897-c556e8b010cc,"It 's Jagger 's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .",2
b823d71f-a73d-4279-b6d3-ce4e73fd2e83,The combination of lightness and strictness in this instance gives Italian for Beginners an amiable aimlessness that keeps it from seeming predictably formulaic .,2
479be649-19f7-40ce-85d5-a45bf329f76c,"There 's nothing exactly wrong here , but there 's not nearly enough that 's right .",1
d4474586-ca02-4f44-8f25-26db057c8d06,One big blustery movie where nothing really happens .,1
b9809763-5f08-4fcb-9020-e4acb03d67d9,"It 's sort of in-between , and it works .",3
9e13c4f7-dc2e-4f2c-af00-2bcb3c6c8ca6,A glorious mess .,2
fa2123f8-6cc3-492f-80c1-de3bd153897b,"Your 20th outing shows off a lot of stamina and vitality , and get this , Madonna 's cameo does n't suck !",3
fb3d00e9-4561-43ba-a62c-3dbf0ed55cbb,"Harvard Man is a semi-throwback , a reminiscence without nostalgia or sentimentality .",2
1a3e3abc-c647-47fc-b5f0-75bcec7a72e0,It may not be `` Last Tango in Paris '' but ...,2
bfc909b5-7402-414f-9833-a104475dc61f,"Functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing .",3
49cb18e7-0917-4972-9160-f26e38a76024,A refreshing change from the usual whoopee-cushion effort aimed at the youth market .,4
5ef52a46-df0a-4cd3-9f9e-de0b12094c51,"An uplifting drama ... What Antwone Fisher is n't , however , is original .",2
bcc42943-279c-408e-a25c-08f4eae7e374,"McGrath has deftly trimmed Dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness .",3
206ebf54-d513-4c36-a45c-8a014943cb67,"... plays like a badly edited , 91-minute trailer ( and ) the director ca n't seem to get a coherent rhythm going .",0
decb6bc5-2fb8-47aa-a7ce-686c1cc3664c,This is n't a stand up and cheer flick ; it 's a sit down and ponder affair .,3
407496e6-c7e8-4f9a-a16b-095057927339,"Never does `` Lilo & Stitch '' reach the emotion or timelessness of Disney 's great past , or even that of more recent successes such as `` Mulan '' or `` Tarzan . ''",1
c5706b27-5d24-4790-87a1-10725ad5dffe,"Chalk it up to my adoration for both De Niro and Murphy , but I had a pretty good time with this movie - despite its myriad flaws .",2
85dbad44-16b6-496c-828d-f71e29c8e6bb,A dark comedy that goes for sick and demented humor simply to do so .,1
fb93a926-3d3e-4f3a-af70-ec71eacfcbe3,A chaotic panorama that 's too busy flying a lot of metaphoric flags .,1
9baf3662-0db0-4c34-b461-d5e8c4ac732f,"( Lee ) treats his audience the same way that Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects .",0
7f5c0d84-dbbc-422f-8733-f61d7bf41206,"As predictable as the outcome of a Globetrotters-Generals game , Juwanna Mann is even more ludicrous than you 'd expect from the guy-in-a-dress genre , and a personal low for everyone involved .",0
cb4e3570-91d1-4492-a302-f8cf10aaea09,"Although ... visually striking and slickly staged , it 's also cold , grey , antiseptic and emotionally desiccated .",1
70cc4cff-6d52-4b95-b340-7cc0bca21103,Wait for pay per view or rental but do n't dismiss BarberShop out of hand .,2
ec6c71f6-83ed-4e62-921a-dc91c49d5a2d,Little more than a well-mounted history lesson .,1
f51e0448-b201-4d1c-8747-52971ce3df26,"Bright seems alternately amused and disgusted with this material , and he ca n't help throwing in a few of his own touches .",2
8b665ec8-fb76-45c0-a7f0-1bcb99f3f22d,"The film is hard to dismiss -- moody , thoughtful , and lit by flashes of mordant humor .",3
7f23dabc-fbc9-4a1f-8f78-ee89ae20a1a2,Everywhere the camera looks there is something worth seeing .,4
70607ea0-020e-4427-860b-6622e202d6ce,Reggio 's continual visual barrage is absorbing as well as thought-provoking .,3
7bd5164a-f3db-49af-b222-12a15a2055fe,"Dong never pushes for insights beyond the superficial tensions of the dynamic he 's dissecting , and the film settles too easily along the contours of expectation .",1
a93068a3-cbbc-4599-b05a-31d3033b3ee1,"No big whoop , nothing new to see , zero thrills , too many flashbacks and a choppy ending make for a bad film .",0
af447b0c-50ad-424c-a78f-f876615b072c,"If routine action and jokes like this are your cup of tea , then pay your $ 8 and get ready for the big shear .",1
11539a4d-23bd-4fce-93de-f41bcfd3224e,"After all , he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long .",1
e54c04fb-8e73-49b2-8205-f763117770c3,Her delivery and timing are flawless .,4
9e2d524e-ec47-4cbc-b517-6a178711b478,Meticulously uncovers a trail of outrageous force and craven concealment .,3
ddf177e2-f76d-40bc-b91d-bbe3f3d8be05,"This is cool , slick stuff , ready to quench the thirst of an audience that misses the summer blockbusters .",4
6ccf2bf2-c6d7-4e6e-a25e-01108e0b0ae4,A great script brought down by lousy direction .,1
b21024cb-381d-4115-ba5e-6f7000480fcd,Better than the tepid Star Trek : Insurrection ; falls short of First Contact because the villain could n't pick the lint off Borg Queen Alice Krige 's cape ; and finishes half a parsec ( a nose ) ahead of Generations .,2
541f77bb-21fe-4112-ab49-e4fc5e45bef8,May puzzle his most ardent fans .,1
9908be6c-d62f-4df6-8e71-62c0167fe7a2,A lot more dimensional and complex than its sunny disposition would lead you to believe .,3
fd50980d-c033-445f-bf95-c3ec0674e5a3,Here the love scenes all end in someone screaming .,1
3986bd63-f441-47d6-9795-1a45fff1725e,Murderous Maids pulls no punches in its depiction of the lives of the Papin sister and the events that led to their notorious rise to infamy ...,3
0ad6c876-c598-4f02-a661-ac826eee6622,"Ultimately , the message of Trouble Every Day seems to be that all sexual desire disrupts life 's stasis .",2
175374e0-d32b-4b74-a74d-8c8c9ee502e7,Troubling and powerful .,3
6018f0da-0fb6-4e37-8156-d6745716cbce,"If you 've ever entertained the notion of doing what the title of this film implies , what Sex With Strangers actually shows may put you off the idea forever .",1
62287aaa-4734-43e8-b932-0b2ce6a282ea,The somber pacing and lack of dramatic fireworks make Green Dragon seem more like medicine than entertainment .,0
f1700a44-b817-4547-8674-ab72c0ac1eac,"A sharp and quick documentary that is funny and pithy , while illuminating an era of theatrical comedy that , while past , really is n't .",3
c4677f7e-8cba-4ef1-8461-22a69ed989c5,Serious movie-goers embarking upon this journey will find that The Road to Perdition leads to a satisfying destination .,4
cf22b766-7a1d-4259-9e64-30e62c99e636,"If the film has a problem , its shortness disappoints : You want the story to go on and on .",3
d45f0a82-3cca-4615-9b93-d88b66845c7b,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love .,4
b9466cc5-2e2f-41d0-bdd2-480eb9582ff7,"If you 've got a house full of tots -- do n't worry , this will be on video long before they grow up and you can wait till then .",1
b061433e-75eb-4c4d-9f5a-203baad4941c,"A broad , melodramatic estrogen opera that 's pretty toxic in its own right .",1
d8a421cd-bc60-4b72-9218-b0ab7ae59561,"In the end , the movie bogs down in insignificance , saying nothing about Kennedy 's assassination and revealing nothing about the pathology it pretends to investigate .",0
aee3e7c8-2ac8-49f6-8ee0-546fe4a9a0ec,A technically well-made suspenser ... but its abrupt drop in IQ points as it races to the finish line proves simply too discouraging to let slide .,2
0f5e0fe1-2fb7-49b7-8fbc-44575d85e64f,Pumpkin wants to have it both ways .,2
8d0be620-27b9-483f-b348-6ad5e84ec2b2,"Chilling in its objective portrait of dreary , lost twenty-first century America .",3
70d40776-5bf1-48e5-adad-5d5e99ba3957,Plays like the old disease-of-the-week small-screen melodramas .,1
baeb822b-b072-4655-bd17-bee347454023,"A hypnotic portrait of this sad , compulsive life .",3
4e6cd24a-5cc5-4d24-b6c4-18a1eb328f57,"But the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative .",0
f66d6a2a-aad3-48ea-a565-cc3c5f5390ea,"Fails as a dystopian movie , as a retooling of Fahrenheit 451 , and even as a rip-off of The Matrix .",0
c9b19a69-48da-4903-9d44-767d825e5aef,"It 's a humble effort , but spiced with wry humor and genuine pathos , especially between Morgan and Redgrave .",3
4335384f-a412-4c86-a81f-9a6843077a4f,A film that 's flawed and brilliant in equal measure .,3
1908dc5a-6e79-48f3-b7bf-a57e9c93ec4b,"And when you 're talking about a slapstick comedy , that 's a pretty big problem .",0
54d48e29-659a-460b-ab89-f74b42dc28de,"For every articulate player , such as skateboarder Tony Hawk or BMX rider Mat Hoffman , are about a half dozen young Turks angling to see how many times they can work the words `` radical '' or `` suck '' into a sentence .",1
8c810eda-c26b-4a6a-a48d-bcce10a8d103,"My Big Fat Greek Wedding is not only the best date movie of the year , it 's also a -- dare I say it twice -- delightfully charming -- and totally American , I might add -- slice of comedic bliss .",4
442bd41f-4d13-4fc3-bd72-247078a7cec2,"Recoing 's fantastic performance does n't exactly reveal what makes Vincent tick , but perhaps any definitive explanation for it would have felt like a cheat .",2
ad3c734b-0e7b-4819-bb5e-c81a8d07165d,You may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie .,0
c2b6b304-6aff-4866-89cf-69567ddc2371,"If you like quirky , odd movies and\/or the ironic , here 's a fun one .",4
aa445022-f5e1-46da-b2c2-bcf96cbccdd5,He watches them as they float within the seas of their personalities .,3
2596c391-201b-416a-9cc4-d193b93a34a2,There 's already been too many of these films ...,0
3e688dd9-4432-43c9-9d3f-c59fe6998e04,"Now , if it only had a brain .",1
61faa8a9-1109-4079-99b0-02d68b4ed132,"Morrissette has performed a difficult task indeed - he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating .",1
2694f9c7-e099-4170-867d-967208acac3c,"After seeing SWEPT AWAY , I feel sorry for Madonna .",1
56d694e6-3e09-4746-a2fa-552963f16d32,A remarkably alluring film set in the constrictive Eisenhower era about one suburban woman 's yearning in the face of a loss that shatters her cheery and tranquil suburban life .,3
ce91f0de-e62c-4b67-b7bc-3f591d2edef5,"The video work is so grainy and rough , so dependent on being ` naturalistic ' rather than carefully lit and set up , that it 's exhausting to watch .",2
0117fc49-cc53-4fb2-b95f-e2966e54da5a,"The story that emerges has elements of romance , tragedy and even silent-movie comedy .",3
53b230b0-ee13-4f13-ac73-4075d03411c8,"Interview With the Assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its Blair Witch Project real-time roots .",1
5069bf40-1886-489d-a0de-986019edc323,"I know we 're not supposed to take it seriously , but I ca n't shake the thought that Undercover Brother missed an opportunity to strongly present some profound social commentary .",2
5ede1e97-b6e9-4881-8eca-211ed237ec35,Sucking all the ` classic ' out of Robert Louis Stevenson 's Treasure Island and filling the void with sci-fi video game graphics and Disney-fied adolescent angst ...,1
b654abd1-9c27-41e4-a62c-e3692af42c46,Smothered by its own solemnity .,2
52da763c-0c2e-4850-9de6-e5ec5b25e100,"It winds up moving in many directions as it searches ( vainly , I think ) for something fresh to say .",1
e41209a1-f754-4ab4-b2ae-e484478947e9,"Dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",1
2cd73fe7-f46d-4d25-8bfb-e00dc6ea812c,"If Kaufman kept Cameron Diaz a prisoner in a cage with her ape , in his latest , he 'd have them mate .",1
7ab259b4-af71-4eb6-b0b7-941b8429b0c1,The film is really not so much bad as bland .,1
6aefd930-1fcf-4925-8e77-ba25f785bdc2,"Even these tales of just seven children seem at times too many , although in reality they are not enough .",2
288dfee3-8f91-43d1-a8d1-d4082c637b7d,Meyjes ... has done his homework and soaked up some jazzy new revisionist theories about the origins of Nazi politics and aesthetics .,3
82c1a49b-d825-478b-aa64-fbc3fd9999dc,I know that I 'll never listen to Marvin Gaye or the Supremes the same way again,3
cb3432e2-7eb6-406e-92d6-219b31546ba3,My thoughts were focused on the characters .,3
69d3e0cf-82df-49fa-b874-84d8156da495,` How many more voyages can this limping but dearly-loved franchise survive ? ',2
7d446cff-38bd-48f6-8520-0f98954d2b58,"The film has a kind of hard , cold effect .",1
