id,sentence1,sentence2,paraphrase_type_ids,sentence1_segment_location,sentence2_segment_location,sentence1_tokenized,sentence2_tokenized
32ece619-ce56-4266-8527-e4a9b05f37c0,"The company has agreed terms on the purchase of the paper division of the Dutch office supplies group Buhrmann, the largest paper distributor in Europe.","The company has reached agreement on the terms for buying the paper division of the Dutch office supplies group Buhrmann, the largest paper distributor in Europe.","[6, 11, 11, 29]","[29, 29, 0, 11, 11, 0, 0, 6, 0, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]","[29, 29, 0, 11, 11, 11, 11, 11, 0, 6, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29]","['The', 'company', 'has', 'agreed', 'terms', 'on', 'the', 'purchase', 'of', 'the', 'paper', 'division', 'of', 'the', 'Dutch', 'office', 'supplies', 'group', 'Buhrmann', ',', 'the', 'largest', 'paper', 'distributor', 'in', 'Europe', '.']","['The', 'company', 'has', 'reached', 'agreement', 'on', 'the', 'terms', 'for', 'buying', 'the', 'paper', 'division', 'of', 'the', 'Dutch', 'office', 'supplies', 'group', 'Buhrmann', ',', 'the', 'largest', 'paper', 'distributor', 'in', 'Europe', '.\n']"
20cdb693-2c01-4d23-a4f8-2e8da848fd96,"The intelligence service, headed by Mr. Fujimori's spy chief, Vladimiro Montesinos, was accused of tortures, drug trafficking and disappearances.","The head of the intelligence service under Mr. Fujimori, Vladimiro Montesinos, was accused of tortures and disappearances.","[3, 25, 25, 29]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","['The', 'intelligence', 'service', ',', 'headed', 'by', 'Mr.', 'Fujimori', ""'s"", 'spy', 'chief', ',', 'Vladimiro', 'Montesinos', ',', 'was', 'accused', 'of', 'tortures', ',', 'drug', 'trafficking', 'and', 'disappearances', '.']","['The', 'head', 'of', 'the', 'intelligence', 'service', 'under', 'Mr.', 'Fujimori', ',', 'Vladimiro', 'Montesinos', ',', 'was', 'accused', 'of', 'tortures', 'and', 'disappearances', '.\n']"
1a9574d7-8328-4c79-9211-932457cd3eb6,"""I don't think my brain is going to go dead this afternoon or next week,"" he said.","In a conference call yesterday, he said, ""I don't think that my brain is going to go dead this afternoon or next week.""","[29, 26, 25]","[26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 29, 29, 29]","[0, 0, 0, 0, 0, 0, 29, 29, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 29, 26]","['``', 'I', 'do', ""n't"", 'think', 'my', 'brain', 'is', 'going', 'to', 'go', 'dead', 'this', 'afternoon', 'or', 'next', 'week', ',', ""''"", 'he', 'said', '.']","['In', 'a', 'conference', 'call', 'yesterday', ',', 'he', 'said', ',', '``', 'I', 'do', ""n't"", 'think', 'that', 'my', 'brain', 'is', 'going', 'to', 'go', 'dead', 'this', 'afternoon', 'or', 'next', 'week', '.', ""''\n""]"
4f8d7d9b-4cab-4ca0-adab-d481e90f8276,"The FCC said existing televisions, VCRs, DVD players and related equipment would remain fully functional under the new broadcast flag system.","It also required that existing televisions, VCRs, DVD players and related equipment will remain fully functional under the new broadcast flag system.","[6, 6, 2, 24, 25, 29]","[24, 24, 24, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","[24, 25, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24]","['The', 'FCC', 'said', 'existing', 'televisions', ',', 'VCRs', ',', 'DVD', 'players', 'and', 'related', 'equipment', 'would', 'remain', 'fully', 'functional', 'under', 'the', 'new', 'broadcast', 'flag', 'system', '.']","['It', 'also', 'required', 'that', 'existing', 'televisions', ',', 'VCRs', ',', 'DVD', 'players', 'and', 'related', 'equipment', 'will', 'remain', 'fully', 'functional', 'under', 'the', 'new', 'broadcast', 'flag', 'system', '.\n']"
2179aa0f-a89b-45dc-91dc-da831db9f436,The board is investigating whether a shortage of funds in the shuttle program compromised safety.,The board is investigating whether this compromised safety on the shuttle.,"[6, 26, 25, 29]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 26, 25, 0, 0, 0]","[25, 25, 25, 25, 25, 0, 25, 25, 26, 26, 26, 25]","['The', 'board', 'is', 'investigating', 'whether', 'a', 'shortage', 'of', 'funds', 'in', 'the', 'shuttle', 'program', 'compromised', 'safety', '.']","['The', 'board', 'is', 'investigating', 'whether', 'this', 'compromised', 'safety', 'on', 'the', 'shuttle', '.\n']"
6d7501d2-9678-4a1f-8e73-4f91ec19b08b,It predicted that a 7.0 percent rise to $204.9 billion in 2006 would push the industry's yearly sales slightly past its highest-ever level in in 2000.,"It also predicted that a 7.0 per cent rise to $204.9bn in 2006, topping the industry's yearly sales record set in 2000.","[4, 4, 5, 6, 2, 25, 25, 29, 21]","[25, 25, 25, 25, 25, 4, 25, 25, 25, 25, 4, 25, 25, 25, 25, 25, 25, 25, 25, 25, 5, 5, 6, 6, 6, 0, 25, 25, 25]","[0, 25, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 6, 25, 0, 0, 0]","['It', 'predicted', 'that', 'a', '7.0', 'percent', 'rise', 'to', '$', '204.9', 'billion', 'in', '2006', 'would', 'push', 'the', 'industry', ""'s"", 'yearly', 'sales', 'slightly', 'past', 'its', 'highest-ever', 'level', 'in', 'in', '2000', '.']","['It', 'also', 'predicted', 'that', 'a', '7.0', 'per', 'cent', 'rise', 'to', '$', '204.9bn', 'in', '2006', ',', 'topping', 'the', 'industry', ""'s"", 'yearly', 'sales', 'record', 'set', 'in', '2000', '.\n']"
a3cc017a-9f9a-440d-8107-825a4abe2376,"There are a total of 659 women enrolled at the academy, the report said.",There were 659 women enrolled at the academy at the time of the survey.,"[11, 1, 29, 30]","[29, 1, 11, 11, 11, 11, 11, 29, 29, 29, 29, 30, 30, 30, 30, 29]","[29, 1, 11, 11, 29, 29, 29, 29, 30, 30, 30, 30, 30, 30, 29]","['There', 'are', 'a', 'total', 'of', '659', 'women', 'enrolled', 'at', 'the', 'academy', ',', 'the', 'report', 'said', '.']","['There', 'were', '659', 'women', 'enrolled', 'at', 'the', 'academy', 'at', 'the', 'time', 'of', 'the', 'survey', '.\n']"
46b6091a-9e0d-4927-a26a-cf4be2e505f9,"""The sentence reflects the seriousness with which our office and the courts views these crimes,"" Spitzer said in a statement.","Mr. Spitzer said in a statement that the sentence ""reflects the seriousness with which our office and the courts view these crimes.""","[7, 26, 29, 21]","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 26, 21, 26, 26, 26, 26, 26, 29]","[26, 26, 26, 26, 26, 26, 0, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 29, 21]","['``', 'The', 'sentence', 'reflects', 'the', 'seriousness', 'with', 'which', 'our', 'office', 'and', 'the', 'courts', 'views', 'these', 'crimes', ',', ""''"", 'Spitzer', 'said', 'in', 'a', 'statement', '.']","['Mr.', 'Spitzer', 'said', 'in', 'a', 'statement', 'that', 'the', 'sentence', '``', 'reflects', 'the', 'seriousness', 'with', 'which', 'our', 'office', 'and', 'the', 'courts', 'view', 'these', 'crimes', '.', ""''\n""]"
46974a5f-4de5-4377-b5a5-e69171fdf5c6,Rep. Dennis Kucinich of Ohio is expected to raise more than $1 million.,Ohio Rep. Dennis Kucinich passed $1 million last week and was still counting money.,"[6, 11, 25, 25, 25, 29]","[11, 11, 11, 11, 11, 25, 25, 25, 6, 6, 6, 25, 25, 25, 25]","[11, 11, 11, 11, 6, 0, 0, 0, 25, 25, 25, 25, 25, 25, 25, 0]","['Rep.', 'Dennis', 'Kucinich', 'of', 'Ohio', 'is', 'expected', 'to', 'raise', 'more', 'than', '$', '1', 'million', '.']","['Ohio', 'Rep.', 'Dennis', 'Kucinich', 'passed', '$', '1', 'million', 'last', 'week', 'and', 'was', 'still', 'counting', 'money', '.\n']"
1d4024c2-beef-440a-b806-4fa94542c8df,"Earlier on Monday, Grant Thornton SpA repeated previous statements that it was ""a victim of fraudulent action"".",Grant Thornton claims that it too was the “victim” of a fraud.,"[6, 6, 6, 11, 25, 25, 25, 29, 21]","[25, 25, 25, 25, 6, 6, 6, 6, 25, 25, 25, 25, 25, 0, 6, 25, 25, 11, 11, 0, 25]","[6, 6, 6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25]","['Earlier', 'on', 'Monday', ',', 'Grant', 'Thornton', 'SpA', 'repeated', 'previous', 'statements', 'that', 'it', 'was', '``', 'a', 'victim', 'of', 'fraudulent', 'action', ""''"", '.']","['Grant', 'Thornton', 'claims', 'that', 'it', 'too', 'was', 'the', '“victim”', 'of', 'a', 'fraud', '.\n']"
